framework,avg_max_test_acc,avg_max_f1_score,avg_max_auc
FedAPM,0.6508372414622413,0.5902777552604676,0.6948400497436523
FedAvg,0.4222943722943723,0.2744269520044327,0.6568976938724518
FedAlt,0.4440935145101812,0.3038281202316284,0.641784942150116
FedSim,0.4438157367324034,0.3038805603981018,0.6425145030021667
FedProx,0.4222943722943723,0.2741203308105469,0.6550009548664093
